+-----------------+-------------+----------------+------------------------+
| Количество эпох | Размер окна | Норма обучения |    Суммарная ошибка    |
|      20000      |      8      |      1,0       |          nan           |
|      18000      |      2      |      0,05      |   3,162098589779247    |
|      18000      |      2      |      0,1       |   2,7167744568398264   |
|      18000      |      2      |      0,15      |    2,12150098739579    |
|      18000      |      2      |      0,2       |   1,7494190669557965   |
|      18000      |      2      |      0,25      |   1,493323325651581    |
|      18000      |      2      |      0,3       |   1,256086861268284    |
|      18000      |      2      |      0,35      |   1,247365717788011    |
|      18000      |      2      |      0,4       |   0,9308649389019245   |
|      18000      |      2      |      0,45      |   0,9131471276171099   |
|      18000      |      2      |      0,5       |   0,6940867954175011   |
|      18000      |      2      |      0,55      |   0,7042143964576081   |
|      18000      |      2      |      0,6       |   0,6568751345470457   |
|      18000      |      2      |      0,65      |   0,6724867072880559   |
|      18000      |      2      |      0,7       |   0,6227789171767215   |
|      18000      |      2      |      0,75      |   0,5693562455147767   |
|      18000      |      2      |      0,8       |   0,5865801642821875   |
|      18000      |      2      |      0,85      |   0,5109179330926993   |
|      18000      |      2      |      0,9       |   0,5051182298921651   |
|      18000      |      2      |      0,95      |  0,34160426822112255   |
|      18000      |      2      |      1,0       |  0,37837493453536813   |
|      18000      |      3      |      0,05      |   2,2628172621954827   |
|      18000      |      3      |      0,1       |   0,9490013499075406   |
|      18000      |      3      |      0,15      |   0,3758738112381004   |
|      18000      |      3      |      0,2       |  0,18586006478847494   |
|      18000      |      3      |      0,25      |  0,04106963032490164   |
|      18000      |      3      |      0,3       |  0,022459579034439882  |
|      18000      |      3      |      0,35      |  0,010376966918836113  |
|      18000      |      3      |      0,4       |  0,013004333030036468  |
|      18000      |      3      |      0,45      |  0,006746769519606993  |
|      18000      |      3      |      0,5       |  0,004388947625187642  |
|      18000      |      3      |      0,55      |  0,003127964808636278  |
|      18000      |      3      |      0,6       | 0,0012680938916726715  |
|      18000      |      3      |      0,65      | 0,0017130979087287665  |
|      18000      |      3      |      0,7       | 0,0011263110536311864  |
|      18000      |      3      |      0,75      | 0,0015822515592204996  |
|      18000      |      3      |      0,8       | 0,0011906610027407134  |
|      18000      |      3      |      0,85      | 0,0010552510559256837  |
|      18000      |      3      |      0,9       | 0,0007886465731648671  |
|      18000      |      3      |      0,95      | 0,0007373164549066371  |
|      18000      |      3      |      1,0       | 0,0007828004194530861  |
|      18000      |      4      |      0,05      |   1,2518475549740418   |
|      18000      |      4      |      0,1       |  0,09825842771766514   |
|      18000      |      4      |      0,15      |  0,016201266276259375  |
|      18000      |      4      |      0,2       | 0,0015939836784818408  |
|      18000      |      4      |      0,25      | 0,0006830709128750796  |
|      18000      |      4      |      0,3       | 0,00018526775918636265 |
|      18000      |      4      |      0,35      | 6,548644964532018e-05  |
|      18000      |      4      |      0,4       | 2,2119044131365753e-05 |
|      18000      |      4      |      0,45      | 3,956291120833955e-06  |
|      18000      |      4      |      0,5       | 7,436634910120444e-06  |
|      18000      |      4      |      0,55      |  5,30351827668848e-06  |
|      18000      |      4      |      0,6       | 3,836197123414161e-06  |
|      18000      |      4      |      0,65      |  1,99945999369027e-06  |
|      18000      |      4      |      0,7       | 1,3370892300442718e-06 |
|      18000      |      4      |      0,75      | 1,1331150464391488e-06 |
|      18000      |      4      |      0,8       | 8,818898463087153e-07  |
|      18000      |      4      |      0,85      | 5,622995994037847e-07  |
|      18000      |      4      |      0,9       | 4,587873197717564e-07  |
|      18000      |      4      |      0,95      | 3,3370515086070027e-07 |
|      18000      |      4      |      1,0       | 2,0212363312541867e-07 |
|      18000      |      5      |      0,05      |  0,30777860380866356   |
|      18000      |      5      |      0,1       |  0,013863590009574087  |
|      18000      |      5      |      0,15      | 0,0008765143377609733  |
|      18000      |      5      |      0,2       | 5,246153878168637e-05  |
|      18000      |      5      |      0,25      | 7,139793132735026e-06  |
|      18000      |      5      |      0,3       | 1,5302215367898207e-06 |
|      18000      |      5      |      0,35      | 5,356963011419313e-07  |
|      18000      |      5      |      0,4       | 1,0052806038377787e-07 |
|      18000      |      5      |      0,45      | 4,550085202930164e-08  |
|      18000      |      5      |      0,5       |  2,38310059196159e-08  |
|      18000      |      5      |      0,55      | 9,635289077584624e-09  |
|      18000      |      5      |      0,6       | 3,793947023464659e-09  |
|      18000      |      5      |      0,65      | 4,466915664802917e-09  |
|      18000      |      5      |      0,7       | 2,3014505920131526e-09 |
|      18000      |      5      |      0,75      | 1,7453468586188425e-09 |
|      18000      |      5      |      0,8       | 1,5142682979831422e-09 |
|      18000      |      5      |      0,85      | 1,1172442052706787e-09 |
|      18000      |      5      |      0,9       | 7,420870197676141e-10  |
|      18000      |      5      |      0,95      | 1,114794680465447e-09  |
|      18000      |      5      |      1,0       | 6,291898555100455e-08  |
|      18000      |      6      |      0,05      |   0,158891806429841    |
|      18000      |      6      |      0,1       |  0,005252608802114927  |
|      18000      |      6      |      0,15      | 0,0001014855672376126  |
|      18000      |      6      |      0,2       | 4,467015298893967e-06  |
|      18000      |      6      |      0,25      | 3,3334354576468725e-07 |
|      18000      |      6      |      0,3       | 4,615806270792132e-08  |
|      18000      |      6      |      0,35      | 1,0827534932542501e-08 |
|      18000      |      6      |      0,4       |  2,72854680017015e-09  |
|      18000      |      6      |      0,45      | 1,371845729602758e-09  |
|      18000      |      6      |      0,5       | 6,643456906855257e-10  |
|      18000      |      6      |      0,55      |  2,93098504241267e-10  |
|      18000      |      6      |      0,6       | 2,7504187529350445e-11 |
|      18000      |      6      |      0,65      | 7,258695866889136e-11  |
|      18000      |      6      |      0,7       | 4,1721079688280316e-11 |
|      18000      |      6      |      0,75      | 3,986951223322622e-11  |
|      18000      |      6      |      0,8       | 1,859789866094357e-11  |
|      18000      |      6      |      0,85      | 1,5455723679599194e-11 |
|      18000      |      6      |      0,9       | 5,126884551281844e-13  |
|      18000      |      6      |      0,95      | 3,0102352721324217e-12 |
|      18000      |      6      |      1,0       |          nan           |
|      18000      |      7      |      0,05      |  0,16733068917304958   |
|      18000      |      7      |      0,1       | 0,0018002388142704998  |
|      18000      |      7      |      0,15      | 4,219150275074891e-05  |
|      18000      |      7      |      0,2       | 1,1961866481979287e-06 |
|      18000      |      7      |      0,25      | 1,1498735119467715e-07 |
|      18000      |      7      |      0,3       | 8,220727742885648e-09  |
|      18000      |      7      |      0,35      | 1,6310800559217437e-09 |
|      18000      |      7      |      0,4       | 6,929313467682909e-10  |
|      18000      |      7      |      0,45      | 1,9157548639374797e-10 |
|      18000      |      7      |      0,5       | 5,478544604096182e-11  |
|      18000      |      7      |      0,55      | 7,091406697985264e-11  |
|      18000      |      7      |      0,6       | 1,444126738126077e-11  |
|      18000      |      7      |      0,65      | 1,5970174743263205e-11 |
|      18000      |      7      |      0,7       | 3,565384478028509e-12  |
|      18000      |      7      |      0,75      | 3,8188938150117625e-12 |
|      18000      |      7      |      0,8       | 2,008305529149334e-11  |
|      18000      |      7      |      0,85      | 2,823712067241823e-07  |
|      18000      |      7      |      0,9       |          nan           |
|      18000      |      7      |      0,95      |          nan           |
|      18000      |      7      |      1,0       |          nan           |
|      18000      |      8      |      0,05      |   0,2536869925248533   |
|      18000      |      8      |      0,1       | 0,0067536350269811205  |
|      18000      |      8      |      0,15      |  6,14710078023906e-05  |
|      18000      |      8      |      0,2       | 9,118760422668893e-07  |
|      18000      |      8      |      0,25      | 2,911767871363006e-07  |
|      18000      |      8      |      0,3       | 2,1247421868378535e-08 |
|      18000      |      8      |      0,35      | 4,279688692359792e-09  |
|      18000      |      8      |      0,4       | 1,7481588332903062e-09 |
|      18000      |      8      |      0,45      | 2,1400289591992543e-10 |
|      18000      |      8      |      0,5       | 2,3910402491067217e-10 |
|      18000      |      8      |      0,55      | 9,380079255323255e-11  |
|      18000      |      8      |      0,6       | 3,141944122845196e-11  |
|      18000      |      8      |      0,65      | 5,702637744579316e-11  |
|      18000      |      8      |      0,7       | 1,7177111858259654e-11 |
|      18000      |      8      |      0,75      | 6,132158210157338e-13  |
|      18000      |      8      |      0,8       |  3,57959120992651e-13  |
|      18000      |      8      |      0,85      |          nan           |
|      18000      |      8      |      0,9       |          nan           |
|      18000      |      8      |      0,95      |          nan           |
|      18000      |      8      |      1,0       |          nan           |
|      16000      |      2      |      0,05      |   3,101736352440083    |
|      16000      |      2      |      0,1       |   2,496464134349751    |
|      16000      |      2      |      0,15      |   2,0708865084327055   |
|      16000      |      2      |      0,2       |   1,8593660343548455   |
|      16000      |      2      |      0,25      |   1,5462445656365775   |
|      16000      |      2      |      0,3       |   1,5297869938493676   |
|      16000      |      2      |      0,35      |   1,1794463582036536   |
|      16000      |      2      |      0,4       |   1,346452093565809    |
|      16000      |      2      |      0,45      |   1,1122664958653927   |
|      16000      |      2      |      0,5       |   0,9728020323823955   |
|      16000      |      2      |      0,55      |   0,7666890773871373   |
|      16000      |      2      |      0,6       |   0,8604981749955801   |
|      16000      |      2      |      0,65      |   0,8249019598211288   |
|      16000      |      2      |      0,7       |   0,7345949370995641   |
|      16000      |      2      |      0,75      |   0,8561012054150731   |
|      16000      |      2      |      0,8       |   0,5592502651403195   |
|      16000      |      2      |      0,85      |   0,7616662033242203   |
|      16000      |      2      |      0,9       |   0,6579097997497624   |
|      16000      |      2      |      0,95      |   0,5903199091244355   |
|      16000      |      2      |      1,0       |   0,6628056785363255   |
