+-----------------+-------------+----------------+------------------+
| Количество эпох | Размер окна | Норма обучения | Суммарная ошибка |
|      18000      |      4      |      0.2       |      0.0009      |
|      18000      |      4      |      0.25      |      0.0003      |
|      18000      |      4      |      0.3       |      0.0001      |
|      18000      |      4      |      0.35      |      0.0001      |
|      18000      |      4      |      0.4       |       0.0        |
|      18000      |      4      |      0.45      |       0.0        |
|      18000      |      4      |      0.5       |       0.0        |
|      18000      |      4      |      0.55      |       0.0        |
|      18000      |      4      |      0.6       |       0.0        |
|      18000      |      4      |      0.65      |       0.0        |
|      18000      |      4      |      0.7       |       0.0        |
|      18000      |      4      |      0.75      |       0.0        |
|      18000      |      4      |      0.8       |       0.0        |
|      18000      |      4      |      0.85      |       0.0        |
|      18000      |      4      |      0.9       |       0.0        |
|      18000      |      4      |      0.95      |       0.0        |
|      18000      |      5      |      0.05      |      0.492       |
|      18000      |      5      |      0.1       |      0.0175      |
|      18000      |      5      |      0.15      |      0.0004      |
|      18000      |      5      |      0.2       |       0.0        |
|      18000      |      5      |      0.25      |       0.0        |
|      18000      |      5      |      0.3       |       0.0        |
|      18000      |      5      |      0.35      |       0.0        |
|      18000      |      5      |      0.4       |       0.0        |
|      18000      |      5      |      0.45      |       0.0        |
|      18000      |      5      |      0.5       |       0.0        |
|      18000      |      5      |      0.55      |       0.0        |
|      18000      |      5      |      0.6       |       0.0        |
|      18000      |      5      |      0.65      |       0.0        |
|      18000      |      5      |      0.7       |       0.0        |
|      18000      |      5      |      0.75      |       0.0        |
|      18000      |      5      |      0.8       |       0.0        |
|      18000      |      5      |      0.85      |       0.0        |
|      18000      |      5      |      0.9       |       0.0        |
|      18000      |      5      |      0.95      |       0.0        |
|      18000      |      6      |      0.05      |      0.2406      |
|      18000      |      6      |      0.1       |      0.0038      |
|      18000      |      6      |      0.15      |      0.0001      |
|      18000      |      6      |      0.2       |       0.0        |
|      18000      |      6      |      0.25      |       0.0        |
|      18000      |      6      |      0.3       |       0.0        |
|      18000      |      6      |      0.35      |       0.0        |
|      18000      |      6      |      0.4       |       0.0        |
|      18000      |      6      |      0.45      |       0.0        |
|      18000      |      6      |      0.5       |       0.0        |
|      18000      |      6      |      0.55      |       0.0        |
|      18000      |      6      |      0.6       |       0.0        |
|      18000      |      6      |      0.65      |       0.0        |
|      18000      |      6      |      0.7       |       0.0        |
|      18000      |      6      |      0.75      |       0.0        |
|      18000      |      6      |      0.8       |       0.0        |
|      18000      |      6      |      0.85      |       0.0        |
|      18000      |      6      |      0.9       |       0.0        |
|      18000      |      6      |      0.95      |       0.0        |
|      18000      |      7      |      0.05      |      0.0427      |
|      18000      |      7      |      0.1       |      0.0011      |
|      18000      |      7      |      0.15      |       0.0        |
|      18000      |      7      |      0.2       |       0.0        |
|      18000      |      7      |      0.25      |       0.0        |
|      18000      |      7      |      0.3       |       0.0        |
|      18000      |      7      |      0.35      |       0.0        |
|      18000      |      7      |      0.4       |       0.0        |
|      18000      |      7      |      0.45      |       0.0        |
|      18000      |      7      |      0.5       |       0.0        |
|      18000      |      7      |      0.55      |       0.0        |
|      18000      |      7      |      0.6       |       0.0        |
|      18000      |      7      |      0.65      |       0.0        |
